collection,collection_url,collection_address,asset_contract_address,cursor,ascending ,page_num,n_request,limit
Bored Ape Yacht Club,https://opensea.io/collection/boredapeyachtclub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,,TRUE,1,100,100
Mutant Ape Yacht Club,https://opensea.io/collection/mutant-ape-yacht-club,0x60E4d786628Fea6478F785A6d7e704777c86a7c6,0x60E4d786628Fea6478F785A6d7e704777c86a7c6,,TRUE,1,100,100
Azuki,https://opensea.io/collection/azuki,0xED5AF388653567Af2F388E6224dC7C4b3241C544,0xED5AF388653567Af2F388E6224dC7C4b3241C544,,TRUE,1,100,100
CLONE X - X TAKASHI MURAKAMI,https://opensea.io/collection/clonex,0x49cF6f5d44E70224e2E23fDcdd2C053F30aDA28B,0x49cF6f5d44E70224e2E23fDcdd2C053F30aDA28B,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0wMysyMSUzQTE3JTNBMzYuNzIzNzY0Ji1waz03MDY1MDAzMzM0,TRUE,1,100,100
Moonbirds,https://opensea.io/collection/proof-moonbirds,0x23581767a106ae21c074b2276D25e5C3e136a68b,0x23581767a106ae21c074b2276D25e5C3e136a68b,,TRUE,1,100,100
Doodles,https://opensea.io/collection/doodles-official,0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0wMysyMiUzQTE3JTNBNDEuNDEzMjk0Ji1waz03MDY1MzkxMjk1,TRUE,1,100,100
Meebits,https://opensea.io/collection/meebits,0x7Bd29408f11D2bFC23c34f18275bBf23bB716Bc7,0x7Bd29408f11D2bFC23c34f18275bBf23bB716Bc7,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0wOCsyMyUzQTExJTNBMDguNjc0MDg1Ji1waz03MTAzODA3NDky,TRUE,1,100,100
Cool Cats NFT,https://opensea.io/collection/cool-cats-nft,0x1A92f7381B9F03921564a437210bB9396471050C,0x1A92f7381B9F03921564a437210bB9396471050C,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0wOCsyMyUzQTQ3JTNBMjkuODE2Mjk3Ji1waz03MTAzOTUwMjY1,TRUE,1,100,100
Bored Ape Kennel Club,https://opensea.io/collection/bored-ape-kennel-club,0xba30E5F9Bb24caa003E9f2f0497Ad287FDF95623,0xba30E5F9Bb24caa003E9f2f0497Ad287FDF95623,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0wOSswMyUzQTM2JTNBMDIuNDY1MTE2Ji1waz03MTA0ODE1MzAw,TRUE,1,100,100
CrypToadz by GREMPLIN,https://opensea.io/collection/cryptoadz-by-gremplin,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0wOSswNCUzQTExJTNBMzMuMzQ4NzM4Ji1waz03MTA0OTU0NDgx,TRUE,1,100,100
World of Women,https://opensea.io/collection/world-of-women-nft,0xe785E82358879F061BC3dcAC6f0444462D4b5330,0xe785E82358879F061BC3dcAC6f0444462D4b5330,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0wOSswMCUzQTUwJTNBMzQuOTQ0NDQyJi1waz03MTA0MTczNTQw,TRUE,1,100,100
HAPE PRIME,https://opensea.io/collection/hapeprime,0x4Db1f25D3d98600140dfc18dEb7515Be5Bd293Af,0x4Db1f25D3d98600140dfc18dEb7515Be5Bd293Af,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0wOSswNCUzQTE4JTNBMjguMDYzODc1Ji1waz03MTA0OTgwODAz,TRUE,1,100,100
MekaVerse,https://opensea.io/collection/mekaverse,0x9A534628B4062E123cE7Ee2222ec20B86e16Ca8F,0x9A534628B4062E123cE7Ee2222ec20B86e16Ca8F,,TRUE,,,
Karafuru,https://opensea.io/collection/karafuru,0xd2F668a8461D6761115dAF8Aeb3cDf5F40C532C6,0xd2F668a8461D6761115dAF8Aeb3cDf5F40C532C6,,TRUE,,,
Invisible Friends,https://opensea.io/collection/invisiblefriends,0x59468516a8259058baD1cA5F8f4BFF190d30E066,0x59468516a8259058baD1cA5F8f4BFF190d30E066,cj0xJi1ldmVudF90aW1lc3RhbXA9MjAyMi0wNy0xMysyMSUzQTQ5JTNBMTcuMjcwMjM0Ji1waz03MTM1MDA2NzYz,TRUE,1,100,100
mfers,https://opensea.io/collection/mfers,0x79FCDEF22feeD20eDDacbB2587640e45491b757f,0x79FCDEF22feeD20eDDacbB2587640e45491b757f,,TRUE,,,
PhantaBear,https://opensea.io/collection/phantabear,0x67D9417C9C3c250f61A83C7e8658daC487B56B09,0x67D9417C9C3c250f61A83C7e8658daC487B56B09,,TRUE,,,
CyberKongz VX,https://opensea.io/collection/cyberkongz-vx,0x7EA3Cca10668B8346aeC0bf1844A49e995527c8B,0x7EA3Cca10668B8346aeC0bf1844A49e995527c8B,,TRUE,,,
Cool Pets NFT,https://opensea.io/collection/coolpetsnft,0x86C10D10ECa1Fca9DAF87a279ABCcabe0063F247,0x86C10D10ECa1Fca9DAF87a279ABCcabe0063F247,,TRUE,,,
Lazy Lions,https://opensea.io/collection/lazy-lions,0x8943C7bAC1914C9A7ABa750Bf2B6B09Fd21037E0,0x8943C7bAC1914C9A7ABa750Bf2B6B09Fd21037E0,,TRUE,,,
Kaiju Kingz,https://opensea.io/collection/kaiju-kingz,0x0c2E57EFddbA8c768147D1fdF9176a0A6EBd5d83,0x0c2E57EFddbA8c768147D1fdF9176a0A6EBd5d83,,TRUE,,,
